SHIP_ID;TIMESTAMP_UTC;LAT;LON;STATUS;HEADING;SPEED_KNOTSX10
549;2017-08-05 23:03:40;1.202073228368617;103.84119142915736;0;107.2428569559268;58.17142861217056
549;2017-08-05 23:03:50;1.2021669062388274;103.84144300225442;0;107.39865357089478;58.01362884776804
549;2017-08-05 23:04:00;1.2022631310159295;103.84169291952848;0;107.54725116647758;57.87425118279575
549;2017-08-05 23:04:10;1.202364449606815;103.84194217798704;0;107.69790464900055;58.14683337149729
549;2017-08-05 23:04:20;1.202465816501107;103.8421917175402;0;107.8195025067943;58.20691490533718
549;2017-08-05 23:04:30;1.2025674512597448;103.84243968032823;0;107.91225647572307;57.91356556505152
549;2017-08-05 23:04:40;1.2026716900111183;103.84268495954105;0;108.03030263514839;57.59521778342581
549;2017-08-05 23:04:50;1.2027777467270664;103.84292779894042;0;108.15110136080924;57.266488743253255
549;2017-08-05 23:05:00;1.2028845543414255;103.84316851475776;0;108.26970076555735;56.91192241897415
549;2017-08-05 23:05:10;1.2029916473850053;103.84340715311018;0;108.38715269852489;56.526875051184945
549;2017-08-05 23:05:20;1.203098389131083;103.8436437447424;0;108.50114855577239;56.09240547752806
549;2017-08-05 23:05:30;1.2032087624150904;103.84387803491241;0;108.66249811453561;55.96964709521157
549;2017-08-05 23:05:40;1.2033198997711656;103.84411454529071;0;108.82861514533948;56.47431992979152
549;2017-08-05 23:05:50;1.2034339660701663;103.84435420700324;0;108.99393304401048;57.36073574048929
549;2017-08-05 23:06:00;1.2035497185971782;103.84459663574093;0;109.1665524149042;58.057132809365925
549;2017-08-05 23:06:10;1.203666977312231;103.84484112657118;0;109.34124816330562;58.59953503047708
549;2017-08-05 23:06:20;1.2037859178640764;103.84508744012437;0;109.51708455329843;59.112123574699
549;2017-08-05 23:06:30;1.2039068125082784;103.84533547757816;0;109.69359713201906;59.63190948254737
549;2017-08-05 23:06:40;1.2040298325023693;103.8455851093655;0;109.87054001265741;60.14337648008699
549;2017-08-05 23:06:50;1.2041546397225031;103.84583623666406;0;110.04733262913403;60.6043089940575
